Question,Answer
How to see Real-time event's status ?,"Prerequisites:Controllers, interfaces, inputs, outputs, and doors must be configured.
Steps:
? Login in the Security View web application
? ""Monitor"" (Top menu bar) >>Events
"
Features of Events in Monitor Section ,"? Check any particular event detail by clicking on it.
? To know about the respective tabs, click on them, which will redirect the screen to the respective section screen
"
To view a particular event detail,"In this section, you can see event details and alarm instructions. You can add remarks, view event specifics, and deactivate alarms for that event from this section.
? You can clear all the filters by clicking on the first Icon from the left. 
? You can erase an event by selecting it by clicking on the second Icon from the left.
? You can pause the events by clicking the third Icon from the left.
"
Reader View,"In this section, you can view reader-based events. "
How to view and export event history,"? Login in the Security View web application
? ""Monitor"" (Top menu bar) >>Reader View
"
Event History,"In this section, you can view and export all the types of events history. "
"
How to view and export event history?","Prerequisites: Controllers, interfaces, inputs, outputs, and doors must be configured.
Steps:
1 Login in the Security View web application
2 ""Monitor"" (Top menu bar) >>Event History
3 Select the time period to view the event history (Current day, weekly, monthly, custom).
4 Based on Events such as Card Read, Grant Access, Deny Access, etc.
5 Based on Alarm Class (Critical, Warning, Attention, Normal)
6 Based on ACK - All, Acknowledged, Unacknowledged
7 To get a CSV file for all the events, click on Export to CSV
"
Who's Where,"In this section, you can find the current area of the user(s) by choosing the respective fields from the drop-down list."
How to find the current area of the user ?,"Prerequisites: Logical Area must be configured.
Steps:
1 Login in the Security View web application
2 ""Monitor"" (Top menu bar) >>Who'sWhere
3 To get the details recorded in an Excel file, click on Export to Excel
"
Area Count,You can use this facility to get a detailed count of the number of users available in a particular area of the respective branch
How to check Area count ?,"Prerequisites: Logical Area must be configured.
Steps:
1 Login in the Security View web application
2 ""Monitor"" (Top menu bar) >>Area Count
3 Select the Branch from the drop-down list.
4 Get the count of users according to the respective areas.
5 To get the list in Excel format, click on Export to Excel.
"
,
Guard Tour,"A Guard Tour System, also known as a Patrol Tour System or Security Patrol System, is a component of a Physical Access Control System (PACS) that is designed to track and manage the movements of security personnel or guards as they conduct their patrols or rounds within a designated area, such as a building, facility, or premises. The primary purpose of a Guard Tour System is to ensure that security personnel are performing their duties effectively and are covering all required checkpoints during their patrols."
Check Point ,"In this section, you can define/ edit checkpoints and map it with readers/ inputs to start managing the guard tour system."
How to configure Check Point?,"Prerequisites:
Controller, Reader, and Input must be defined                                                                                                                                                    Steps:         
1. Login in the Access360 web application
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Guard Tour (Top menu bar) > Click on Add New to create a new checkpoint.
4. Define a checkpoint name.
5. Select the Type 
6. Select the particular reader/input from the drop-down list to start mapping the checkpoint with it.
7. Click on Save to complete the setting.
"
Guard Credentials ,"In this section, you can define and store guard credentials to enable them to get access to the checkpoints created for the guard tour."
How to configure Guard Credentials?,"Prerequisites:
Employee and credential must be configured
1. Login in the Access360 web application
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Guard Tour (Top menu bar) > Click on Guard Credentials                                
4. Select Card Type from the drop-down list - Format or No Format.
5. Enter the Card Number
6. Choose the Format Name from the drop-down list
7. Enter the Employee ID
8. Click on Save to complete the setting
"
How to configure Tour?,"Prerequisites:

Check Point must be configured
1. Login in the Access360 web application
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Manage Tour (Top menu bar) > Click on Manage Tour to Create New Tour.
4. Specify the Tour Name 
5. Specify the length of the tour duration in minutes.
6. Now add checkpoints from the unassigned checkpoints to the assigned checkpoints one-by-one or all.
7. Click on Next to continue.
8. Depending upon your starting checkpoint, assign the time duration for each checkpoint for which the guard shall remain, which, if extended, will get notified to the respective authority.
9. Click on Finish to complete the setting.
"
How to configure Tour Schedule?,"Prerequisites:

Tour must be Configured.
1. Login in the Access360 web application
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Tour Schedule (Top menu bar) > Click on Add to Create New Tour Schedule
4. Define a Schedule Tour Name
5. Provide a Schedule tour code
6. Choose the guard tour that is to be scheduled from the drop-down list
7. Choose the start time and end time of the scheduled tour
8. Click on Save to complete the setting
"
Logical-Area Control,"In the context of a physical access control system (PACS), Logical-Area Control refers to the ability to control and manage access to specific Logical-Areas within an organization. It contains Logical-Area Configuration, Logical-Area Mapping ,Area control Settings, Area-group, Logical Vehicle Group Mapping."
How to Configure Logical-Area Configuration?,"1. Login to the Access360 web application.
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Logical-Area Control (Top menu bar) > Click on Area Configuration
4. Click on Add New Area
5. ID and Name will be generated serial-wise automatically
6. Check the Muster Point? box in case you want to activate the setting of creating an area for the users/ employees to gather in one place during an emergency
7. Assign the area's Alias name
8. Click on Save to complete the settings
"
How to Configure Logical-Area Mapping ?,"1. Login to the Access360 web application.
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Logical-Area Control (Top menu bar) > Area Mapping
4. Choose Area In and Area Out from the drop-down list
5. Click on Save to complete the settings
 
"
How to Configure Logical-Area Control Settings?,"This section defines the various parameters that can be checked to get a detailed view of the users in the Who's Where list.

1. Login to the Access360 web application.
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Logical-Area Control (Top menu bar) > Settings
4. Select and click on checkboxes according to your requirement.
5. Click on Save to complete the settings
"
How to Configure Logical-Area Group?,"You can create area groups (two or more) after mapping it with readers to help the admin define areas for parking management, etc.
 
1. Login to the Access360 web application.
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Logical-Area Control (Top menu bar) > Area Group
4. Click on Add New
5. Type Group Name, Select and drag (> or >>) the areas required to be grouped from unassigned areas to assigned areas
6. Click on Save to complete the settings
"
How to Configure Logical Vehicle Group Mapping,"you can map the vehicle groups (assigned in Access Group) with the area groups.
 
1. Login to the Access360 web application.
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Logical-Area Control (Top menu bar) > Vehicle Group Mapping
4. Do the Vehicle Group Mapping as per your requirement and                                                     click on save to complete the settings
"
Door & Relay Scheduling,"This module is designed to schedule the locking/ unlocking of the door & Relay at a particular time as specified by the client's requirement.
It is applicable for HID Vertex Controllers only.
"
How to Configure Door & Relay Scheduling,"To configure this you have to configure time code, time zone,Door groups, Relay Groups."
How to Configure Door & Relay  Time Code?,"* Login to the Access360 web application.
* Click on the Security View icon top menu bar (3rd from the right side)
* Select Door & Relay Scheduling (Top menu bar) > Time Code
* To create a new time code, click on ""Add New.""
* Define appropriate shifts for the day.
* Click on save to complete the configuration.
"
How to Configure Door & Relay Time Zone?,"* Login to the Access360 web application.
* Click on the Security View icon top menu bar (3rd from the right side)
* Select Door & Relay Scheduling (Top menu bar) > Time Zone
* To define a new time Zone, click on ""Add New.""
* Select appropriate time codes against each day of the week and Holiday groups(optional)
* Click on save to complete the configuration
 
"
How to Configure Door & Relay Door Groups?,"In this section, you can create door groups to link the readers with this scheduling option.

* Login to the Access360 web application.
* Click on the Security View icon top menu bar (3rd from the right side)
* Select Door & Relay Scheduling (Top menu bar) > Door Groups
* Click on Add New to create a new door group
* Define a name for the new door group
* Select Source Type as per the requirement
* Select Action as per the requirement
* Select Schedule
* Select the readers and send them to the assigned door section to complete the setting
* Click on Save
"
Define Relay Groups?,"You can create relay groups in this section to link the relays with this scheduling option.

* Login to the Access360 web application.
* Click on the Security View icon top menu bar (3rd from the right side)
* Select Door & Relay Scheduling (Top menu bar) > Relay Groups
* Click on Add New to create a new relay group
* Define a name for the new relay group
* Select Source Type as per the requirement
* Select Action as per the requirement
* Select Schedule
* Select the respective unassigned relays and send it to the assigned relay section to complete the setting
* Click on Save
"
Questions,Answers
Cam Details,For integration of Access Control System with the CCTV System.
How to configure Cam Details ?,"To configure cam details follow these steps:
1 configure cam settings
2 configure cam door
3 configure cam input                                                                                                          Prerequisites:
DVMS Credentials and Camera Names are required.
Two types of Servers are Successfully integrated and supported.
1. Eagle Eye
2. Avigilon Web
"
How to Configure Cam Settings,"1 Login in the Security View web application
2 'Cam Details' (Top menu bar) >>Click on Cam Settings
3 User can configure DVMS Server Setting here.
4 Select Server Type, Server URL, User Name & Password, and click on Test Connection.
5 Once the Test Connection is Successful, then click on Save.
"
Cam Door,Users can map door names with Camera
How to Configure Cam Door,"
1 Login in the Security View web application
2 ""Cam Details""+B1 (Top menu bar) >> Click on Cam Door
3 Map Door Name with Camera as per your requirement
4 Click on Save to complete the settings
Prerequisites: Door and Camera must be Configured
"
Cam Input,Users can map input names with Camera
How to Configure Cam Input,"1 Login in the Security View web application
2 ""Cam Details"" (Top menu bar) >> Click on Cam Input
3 Map Input Name with Camera as per your requirement 
4 Click on Save to complete the settings
Prerequisites:
Input and Camera must be Configured
"
Questions,Answers
Guard Tour,"A Guard Tour System, also known as a Patrol Tour System or Security Patrol System, is a component of a Physical Access Control System (PACS) that is designed to track and manage the movements of security personnel or guards as they conduct their patrols or rounds within a designated area, such as a building, facility, or premises. The primary purpose of a Guard Tour System is to ensure that security personnel are performing their duties effectively and are covering all required checkpoints during their patrols.
It is applicable for HID Vertex Controllers only.
"
How to configure a Gaurd Tour,"To configure a Gaurd Tour:
1. Add a new Check point
2. Add a new Guard Credentials 
3. Create a new Tour 
4. Create a new Tour Schedule
"
Check Point  in Gaurd Tour,"In this section, you can define/ edit checkpoints and map it with readers/ inputs to start managing the guard tour system.
It is applicable for HID Vertex Controllers only."
How to Add a new Check Point:,"1. Login in the Access360 web application
2. Click on the Security View icon top menu bar (3rd from the right side)
3. Select Guard Tour (Top menu bar) > Click on Add New to create a new checkpoint.
4. Define a checkpoint name.
5. Select the Type 
6. Select the particular reader/input from the drop-down list to start mapping the checkpoint with it.
7. Click on Save to complete the setting.
Prerequisites:
Controller, Reader, and Input must be defined"
Guard Credentials ,"In this section, you can define and store guard credentials to enable them to get access to the checkpoints created for the guard tour.
"
How to Add a new Guard Credential,"* Login in the Access360 web application
* Click on the Security View icon top menu bar (3rd from the right side)
* Select Guard Tour (Top menu bar) > Click on Guard Credentials                                
* Select Card Type from the drop-down list  Format or No Format.
* Enter the Card Number
* Choose the Format Name from the drop-down list
* Enter the Employee ID
* Click on Save to complete the setting
Prerequisites:
Employee and credential must be configured."
Manage Tour,To Create New Tour
How to Add a New Tour:,"* Login in the Access360 web application
* Click on the Security View icon top menu bar (3rd from the right side)
* Select Manage Tour (Top menu bar) > Click on Manage Tour to Create New Tour.
* Specify the Tour Name 
* Specify the length of the tour duration in minutes.
* Now add checkpoints from the unassigned checkpoints to the assigned checkpoints one-by-one or all.
* Click on Next to continue.
* Depending upon your starting checkpoint, assign the time duration for each checkpoint for which the guard shall remain, which, if extended, will get notified to the respective authority.
* Click on Finish to complete the setting.
"
Tour Schedule ,"Once a guard tour is created, it is necessary to schedule it to make it start at a specified time. When a guard tour is scheduled, a notification message is sent to the respective authority synchronized with the guard tour.

"
"
How to Add a New Tour Schedule:
","* Login in the Access360 web application
* Click on the Security View icon top menu bar (3rd from the right side)
* Select Tour Schedule (Top menu bar) > Click on Add to Create New Tour Schedule
* Define a Schedule Tour Name
* Provide a Schedule tour code
* Choose the guard tour that is to be scheduled from the drop-down list
* Choose the start time and end time of the scheduled tour
* Click on Save to complete the setting
Prerequisites:
Tour must be Configured."
Questions,Answers
Zone Draw.,"Zone Draw is a feature that allows you to create and configure zones on a facility map by adding various features such as doors, locks, inputs, outputs, cameras, and more."
How to Configure Zone Draw,"* Login in the Security View web application
* Go to 'Zone Draw' (Top menu bar) >> Click on Zone Draw option and follow below these steps 1. Adding New Zones: 2. Adding Features to the Facility Map:
3. Adding Layers: 4. Saving Changes and Adding the Zone: 5. Accessing and Updating Existing Zones:"
How to Add New Zones:,"* To add a new zone, click on the ""Add New Zone"" button.
* Enter a unique zone name to identify the zone.
* Click on the ""Choose File"" button to upload the facility map image, which serves as the background for drawing the zone.
"
Steps to add Features to the Facility Map:,"* On the facility map, you can add the following features to define the characteristics of the zone:
* Door Status
* Lock Status
* Input Status
* Output Status
* Area Control
* Camera Control
* Draw Area
* Input String
* Controller Status
* Interface Status
* Reader Status
* To add a new feature, click on the desired feature from the available options.
* Select the feature name from the provided options.
* Click on the 'OK' button.
* Drag the selected feature from the top-left corner to the desired location on the map.
"
Step for Adding Layers:,"* Layers allow you to organize and manage different features within the zone.
* To add a layer, enter a name for the layer in the provided field.
* Click on the 'Add Layer' button to create the layer.

Example: Suppose you have multiple inputs and doors in a zone. You can create separate layers for inputs and doors.

"
Steps for Saving Changes and Adding the Zone:,"* Once you have added the desired features and layers to the zone, click on the 'Save Changes' button. The zone will be created with the specified features and layers."
Steps for Accessing and Updating Existing Zones:,"* To access existing zones, select the desired zone from the 'Select Zone' option.
* You can then update the zone by adding or modifying features and layers as needed.
* After making the necessary changes, click on the 'Save Changes' button to update the zone.
"
